mobile_weekday1_full|monday|lundi|poniedziałek|maandag|Montag|lunedì|lunes|segunda-feira|Méindeg
mobile_weekday2_full|tuesday|mardi|wtorek|dinsdag|Dienstag|martedì|martes|terça-feira|Dënschdeg
mobile_weekday3_full|wednesday|mercredi|środa|woensdag|Mittwoch|mercoledì|miércoles|quarta-feira|Mëttwoch
mobile_weekday4_full|thursday|jeudi|czwartek|donderdag|Donnerstag|giovedì|jueves|quinta-feira|Donneschdeg
mobile_weekday5_full|friday|vendredi|piątek|vrijdag|Freitag|venerdì|viernes|sexta-feira|Freideg
mobile_weekday6_full|saturday|samedi|sobota|zaterdag|Samstag|sabato|sábado|sábado|Samschdeg
mobile_weekday7_full|sunday|dimanche|niedziela|zondag|Sonntag|domenica|domingo|domingo|Sonndeg
mobile_weekday1_abr|mon|lun|pn|maa|mon|lun|lun|seg|Méin
mobile_weekday2_abr|tue|mar|wt|din|die|mar|mar|ter|Dëns
mobile_weekday3_abr|wed|mer|śr|woe|mit|mer|mié|qua|Mëtt
mobile_weekday4_abr|thu|jeu|czw|don|don|gio|jue|qui|Donn
mobile_weekday5_abr|fri|ven|pt|vri|fre|ven|vie|sex|Fre
mobile_weekday6_abr|sat|sam|so|zat|sam|sab|sáb|sáb|Sams
mobile_weekday7_abr|sun|dim|nie|zon|son|dom|dom|dom|Sonn
mobile_weekday1_min|mo|lu|pn|ma|mo|lu|lu|se|Mé
mobile_weekday2_min|tu|ma|wt|di|di|ma|ma|te|Dë
mobile_weekday3_min|wd|me|śr|wo|mi|me|mi|qua|Më
mobile_weekday4_min|th|je|cz|do|do|gi|ju|qui|Do
mobile_weekday5_min|fr|ve|pt|vr|fr|ve|vi|sex|Fr
mobile_weekday6_min|sa|sa|so|za|sa|sa|sá|sáb|Sa
mobile_weekday7_min|su|di|n|zo|so|do|do|dom|So
mobile_month1_full|january|janvier|styczeń|januari|januar|Gennaio|Enero|janeiro|Januar
mobile_month2_full|february|février|Luty|februari|februar|febbraio|febrero|fevereiro|Februar
mobile_month3_full|march|mars|marzec|maart|märz|marzo|marzo|março|Mäerz
mobile_month4_full|april|avril|Kwiecień|april|april|aprile|abril|abril|Abrëll
