mobile_language|english|français|polski|nederlands|deutsch|italiano|español|português
mobile_weekday1_full|monday|lundi|poniedziałek|maandag|Montag|lunedì|lunes|segunda-feira|Méindeg
mobile_weekday2_full|tuesday|mardi|wtorek|dinsdag|Dienstag|martedì|martes|terça-feira|Dënschdeg
mobile_weekday3_full|wednesday|mercredi|środa|woensdag|Mittwoch|mercoledì|miércoles|quarta-feira|Mëttwoch
mobile_weekday4_full|thursday|jeudi|czwartek|donderdag|Donnerstag|giovedì|jueves|quinta-feira|Donneschdeg
mobile_weekday5_full|friday|vendredi|piątek|vrijdag|Freitag|venerdì|viernes|sexta-feira|Freideg
mobile_weekday6_full|saturday|samedi|sobota|zaterdag|Samstag|sabato|sábado|sábado|Samschdeg
mobile_weekday7_full|sunday|dimanche|niedziela|zondag|Sonntag|domenica|domingo|domingo|Sonndeg
mobile_weekday1_abr|mon|lun|pn|maa|mon|lun|lun|seg|Méin
mobile_weekday2_abr|tue|mar|wt|din|die|mar|mar|ter|Dëns
mobile_weekday3_abr|wed|mer|śr|woe|mit|mer|mié|qua|Mëtt
mobile_weekday4_abr|thu|jeu|czw|don|don|gio|jue|qui|Donn
mobile_weekday5_abr|fri|ven|pt|vri|fre|ven|vie|sex|Fre
mobile_weekday6_abr|sat|sam|so|zat|sam|sab|sáb|sáb|Sams
mobile_weekday7_abr|sun|dim|nie|zon|son|dom|dom|dom|Sonn
mobile_weekday1_min|mo|lu|pn|ma|mo|lu|lu|se|Mé
mobile_weekday2_min|tu|ma|wt|di|di|ma|ma|te|Dë
mobile_weekday3_min|wd|me|śr|wo|mi|me|mi|qua|Më
mobile_weekday4_min|th|je|cz|do|do|gi|ju|qui|Do
mobile_weekday5_min|fr|ve|pt|vr|fr|ve|vi|sex|Fr
mobile_weekday6_min|sa|sa|so|za|sa|sa|sá|sáb|Sa
mobile_weekday7_min|su|di|n|zo|so|do|do|dom|So
mobile_month1_full|january|janvier|styczeń|januari|januar|Gennaio|Enero|janeiro|Januar
mobile_month2_full|february|février|Luty|februari|februar|febbraio|febrero|fevereiro|Februar
mobile_month3_full|march|mars|marzec|maart|märz|marzo|marzo|março|Mäerz
mobile_month4_full|april|avril|Kwiecień|april|april|aprile|abril|abril|Abrëll
mobile_month5_full|may|mai|maj|mei|mai|maggio|mayo|maio|Mee
mobile_month6_full|june|juin|Czerwiec|juni|juni|Giugno|junio|junho|Juni
mobile_month7_full|july|juillet|Lipiec|juli|juli|Luglio|julio|julho|Juli
mobile_month8_full|august|août|sierpień|augustus|august|agosto|agosto|agosto|August
mobile_month9_full|september|septembre|Wrzesień|september|september|settembre|septiembre|setembro|September
mobile_month10_full|october|octobre|Październik|oktober|oktober|ottobre|octubre|outubro|Oktober
mobile_month11_full|november|novembre|Listopad|november|november|novembre|noviembre|novembro|November
mobile_month12_full|december|décembre|Grudzień|december|dezember|dicembre|diciembre|dezembro|Dezember
mobile_month1_abr|jan|jan|sty|jan|jan|Gen|Ene|jan|Jan
mobile_month2_abr|feb|fév|Lu|feb|feb|feb|feb|fev|Feb
mobile_month3_abr|mar|mar|mar|mrt|mar|mar|mar|mar|Mär
mobile_month4_abr|apr|avr|Kw|apr|apr|apr|abr|abr|Abr
mobile_month5_abr|may|mai|maj|mei|mai|mag|may|mai|Mee
mobile_month6_abr|jun|jun|Cze|jun|jun|Giu|jun|jun|Jun
mobile_month7_abr|jul|jul|Lip|jul|jul|Lug|jul|jul|Jul
mobile_month8_abr|aug|aoû|sie|aug|aug|ago|ago|ago|Aug
mobile_month9_abr|sep|sep|Wrz|sep|sep|set|sep|set|Sep
mobile_month10_abr|oct|oct|Pa|okt|okt|ott|oct|out|Okt
mobile_month11_abr|nov|nov|Lis|nov|nov|nov|nov|nov|Nov
